"Network","DeviceName","MAC","IP","SubnetMask","DefaultGateway"
"LAN","Artiq crate","","192.168.1.75",,
"LAN","kong","88-C9-B3-B0-2D-9C","192.168.1.76",,
"LAN","160A Keysight","","192.168.1.77",,
"LAN","500A Keysight","","192.168.1.78",,
"LAN","krool","D8-BB-C1-DE-4B-47","192.168.1.79",,
"LAN","picomotor controllers","","192.168.1.80",,
"LAN","source ion pump controller","","192.168.1.81",,
"LAN","cell ion pump controller","","192.168.1.82",,
"LAN","spectrum AWG","","192.168.1.83",,
"LAN","Machine table usb hub (lanky)","A0-CE-C8-57-F7-C4","192.168.1.84",,
"LAN","USB Matrix switch","","192.168.1.85",,
"LAN","Artiq test crate","","192.168.1.86",,
"LAN","Antenna Source","","192.168.1.87",,
"LAN","RESERVED (default new ethernet relay IP)","","192.168.1.88",,
"LAN","ALS Moku","","192.168.1.89",,
"LAN","chunky (machine usb hub)","","192.168.1.90",,
"LAN","Tweezer FM function generator (SDG6022X)","","192.168.1.91",,
"LAN","Lightsheet FM function generator (SDG6022X)","","192.168.1.92",,
"LAN","reserved (krool ethernet for connection to test crate)","","192.168.1.93",,
"LAN","Moglabs Wavemeter","","192.168.1.94",,
"LAN","tiny","","192.168.1.95",,
"LAN","multimeter","","192.168.1.96",,
"LAN","Ry fiber EO function generator (SSG3021X)","","192.168.1.97",,
"LAN","SRS shutter driver 0","","192.168.1.100",,
"LAN","fast siglent AWG (SDG6052X) (Ry cavity AOs)","","192.168.1.101",,
"LAN","winky","","192.168.1.102",,
"LAN","Arduino Opta Lite Interlock","","192.168.1.103",,
"LAN","new lab usb hub (closer ethernet port to usb plug of 2)","","192.168.1.104",,
"LAN","bristol wavemeter","","192.168.1.105",,
"LAN","D2 2D S","","192.168.1.106",,
"LAN","D2 2D S","","192.168.1.107",,
"LAN","control desk siglent scope","","192.168.1.108",,
"LAN","3418 ethernet relay (ARTIQ, sources, magnets)","","192.168.1.109",,
"LAN","ry siglent scope","","192.168.1.110",,
"Broida","kong","48-22-54-CC-C1-5F",,,
"Broida","krool","8C-90-2D-80-94-8B",,,
"Broida","lanky (behind machine)","A0-CE-C8-57-F7-C9",,,
"Broida","watchdog (weldclimk)","04-91-62-1F-70-F6",,,
"Broida","winky","00-E0-4C-68-0E-0D",,,
"Broida","chunky (ry laser table)","00-0A-CD-46-84-69",,,
